Horses,1st,2nd,3rd,starts,win,place,roi
Inflation,3,2,1,9,33.3,66.7,-15.00
Dark Prospect,3,1,2,13,23.1,46.2,10.77
Enigman,3,0,1,8,37.5,50.0,145.00
Lady Pluck,3,0,1,5,60.0,80.0,24.00
Tawfiq Boy,3,1,0,11,27.3,36.4,11.82
Schilldora,3,0,0,5,60.0,60.0,320.00
Fanciful Toff,3,2,2,8,37.5,87.5,22.50
Call It a Day,3,3,3,15,20.0,60.0,26.67
Redcore,3,2,1,13,23.1,46.2,15.38
Strategic Demand,3,3,2,14,21.4,57.1,-31.79
So We Are,3,3,1,9,33.3,77.8,107.22
River Jewel,3,2,3,11,27.3,72.7,53.64
Sir Barnabus,3,2,2,14,21.4,50.0,35.00
Handsome Return,3,1,2,9,33.3,66.7,19.44
Dogmatic,3,1,1,9,33.3,55.6,188.89
Mystery Love,3,0,0,3,100.0,100.0,363.33
Cruze,3,2,1,9,33.3,66.7,22.78
Jeraft,3,0,0,7,42.9,42.9,52.86
The Nicconian,3,2,3,12,25.0,66.7,10.83
Femme Fireball,3,0,1,7,42.9,57.1,12.86
Phoneme,3,0,2,9,33.3,55.6,74.44
The Art of the Bar,3,2,0,6,50.0,83.3,15.83
Columbia,3,1,1,8,37.5,62.5,35.00
To Rise Again,3,1,0,8,37.5,50.0,111.25
Captain Stirling,3,2,1,10,30.0,60.0,-8.00
Straturbo,3,1,0,10,30.0,40.0,520.00
One More Try,3,1,0,5,60.0,80.0,162.00
Leading Girl,3,1,1,6,50.0,83.3,-35.00
Shrouded in Mist,3,1,0,9,33.3,44.4,233.33
So Taken,3,1,3,8,37.5,87.5,41.25
Petrelle,3,1,0,6,50.0,66.7,12.50
Splitter,3,1,3,12,25.0,58.3,70.00
Moor Wanted,3,5,0,11,27.3,72.7,90.00
Won Ball,3,1,1,9,33.3,55.6,78.89
Impasse,3,1,2,11,27.3,54.5,37.27
Tonsor,3,1,0,6,50.0,66.7,35.83
Winning Partner,3,2,0,9,33.3,55.6,-26.11
Creative Hero,3,1,0,5,60.0,80.0,38.00
You Make Me Smile,3,0,1,7,42.9,57.1,141.43
Extreme Thrill,3,4,0,11,27.3,63.6,29.09
Killarney Kid,3,3,1,10,30.0,70.0,-45.50
Our Luca,3,0,0,5,60.0,60.0,286.00
Taniko,3,0,0,9,33.3,33.3,28.89
Sliced Bread,3,0,1,9,33.3,44.4,82.22
Seles,3,1,1,9,33.3,55.6,102.22
Lostarc,3,3,4,14,21.4,71.4,-21.43
Symphonette,3,0,2,9,33.3,55.6,16.67
Primitivo,3,0,2,9,33.3,55.6,26.67
Pop Girl,3,4,1,10,30.0,80.0,31.00
Extreme Bliss,3,0,2,8,37.5,62.5,161.25
Blood And Sand,3,0,0,3,100.0,100.0,713.33
Mr One Eleven,3,1,2,11,27.3,54.5,-15.00
Bold Eos,3,0,1,6,50.0,66.7,75.00
Flop,3,2,4,17,17.6,52.9,100.00
Macewen,3,0,1,7,42.9,57.1,132.86
Silent Roar,3,1,2,10,30.0,60.0,-4.00
Angel Of Heaven,3,1,1,8,37.5,62.5,13.13
Diplomac Jack,3,1,1,12,25.0,41.7,339.17
Aagas,3,2,5,17,17.6,58.8,-59.12
Tamasa,3,2,0,5,60.0,100.0,42.00
Desert Lord,3,0,1,6,50.0,66.7,47.50
Love Shack Baby,3,1,2,12,25.0,50.0,-14.58
Cormac,3,1,0,10,30.0,40.0,1.00
Rox The Castle,3,1,0,5,60.0,80.0,116.00
Bold Arial,3,0,0,10,30.0,30.0,0.00
Clarice Cliffs,3,2,0,6,50.0,83.3,-3.33
Get Stuck In,3,1,0,6,50.0,66.7,77.50
Something Fast,3,0,0,4,75.0,75.0,937.50
Lucques,3,0,3,10,30.0,60.0,120.00
Cuban Royale,3,3,0,12,25.0,50.0,327.08
Our Campana,3,1,1,8,37.5,62.5,12.50
Light the Waves,3,0,1,7,42.9,57.1,108.57
Akkadian,3,2,1,12,25.0,50.0,20.00
Cosmic Alert,3,3,1,11,27.3,63.6,38.18
Sheriff,3,2,1,9,33.3,66.7,45.56
Rockarral,3,1,2,9,33.3,66.7,28.89
Crafty Spirit,3,0,1,11,27.3,36.4,297.73
Makahu Boy,3,2,0,7,42.9,71.4,42.86
Mahis Angel,3,2,1,10,30.0,60.0,224.00
Nariko,3,3,1,11,27.3,63.6,36.36
Hyperspace,3,1,2,12,25.0,50.0,30.83
Heartlet,3,2,2,12,25.0,58.3,266.67
Royal Ace,3,1,2,13,23.1,46.2,-10.00
Zavance,3,2,0,10,30.0,50.0,265.00
Kylease,3,1,0,5,60.0,80.0,2.00
Kemalpasa,3,6,0,12,25.0,75.0,-11.67
Magna Bella,3,1,1,6,50.0,83.3,130.83
Mrs O'malley,3,2,2,10,30.0,70.0,45.00
Modulate,3,1,0,6,50.0,66.7,246.67
Miss Identified,3,0,2,17,17.6,29.4,13.24
Double Bubble,3,1,0,8,37.5,50.0,32.50
Esposito Gold,3,1,3,12,25.0,58.3,145.83
Pickup the Pieces,3,2,0,8,37.5,62.5,140.00
Gayatri,3,1,1,5,60.0,100.0,75.00
Algadon Miss,3,0,0,5,60.0,60.0,290.00
Animalia,3,1,1,8,37.5,62.5,117.50
Salon du Cheval,3,0,1,11,27.3,36.4,8.64
Belle Roc,3,1,2,9,33.3,66.7,-39.44
Elm Court,3,1,0,6,50.0,66.7,120.00
Oamaru Owl,3,3,0,9,33.3,66.7,86.67
Brother's Keeper,3,2,1,14,21.4,42.9,-0.71
Vinnie Power,3,3,0,11,27.3,54.5,204.55
Rapture Miss,3,1,0,10,30.0,40.0,43.00
Soy Tan Rapido,3,6,2,12,25.0,91.7,2.50
Alsvin,3,3,1,12,25.0,58.3,-35.83
Miss Sara,3,0,1,11,27.3,36.4,-13.18
California Longbow,3,1,1,10,30.0,50.0,81.00
Maddison Avenue,3,0,0,10,30.0,30.0,190.00
Crystal Spirit,3,0,0,3,100.0,100.0,88.33
Musume,3,3,0,10,30.0,60.0,9.50
Cymbalism,3,0,1,7,42.9,57.1,100.00
Royal Witness,3,1,0,5,60.0,80.0,307.00
Beat the Devil,3,3,0,6,50.0,100.0,37.50
Costello,3,0,0,7,42.9,42.9,307.14
Classic Weiwei,3,0,1,5,60.0,80.0,192.00
Levee Bank,3,0,1,11,27.3,36.4,33.64
Yankee Eyes,3,3,0,12,25.0,50.0,23.33
Fair Sonari,3,1,0,10,30.0,40.0,230.00
Tongsai Boss,3,1,1,10,30.0,50.0,-4.50
Royal Thunder,3,2,1,12,25.0,50.0,56.67
Fred Dag,3,3,0,10,30.0,60.0,-30.00
Stealthy Lucas,3,0,3,7,42.9,85.7,185.71
Budderoo Knight,3,2,1,14,21.4,42.9,19.29
Transmitter,3,0,1,6,50.0,66.7,61.67
Rebel Yell,3,1,2,8,37.5,75.0,13.75
Handspun,3,0,2,7,42.9,71.4,74.29
Angel Dane,3,1,1,8,37.5,62.5,193.75
Epic Girl,3,3,0,10,30.0,60.0,-12.50
Sasko,3,0,0,7,42.9,42.9,60.00
French Girl,3,2,1,10,30.0,60.0,19.50
Matty,3,0,1,7,42.9,57.1,27.14
Forgotten Star,3,1,3,8,37.5,87.5,8.75
Little Fish,3,2,2,8,37.5,87.5,-24.38
Snow Valley,3,0,0,6,50.0,50.0,13.33
Testifier,3,0,0,3,100.0,100.0,295.00
Mervyn,3,2,0,7,42.9,71.4,101.43
Tata da Goose,3,1,1,8,37.5,62.5,7.50
Gumshoe,3,1,2,7,42.9,85.7,40.00
Captain Courageous,3,2,1,11,27.3,54.5,150.00
Fortification,3,0,0,8,37.5,37.5,70.00
Excessabeel,3,1,0,9,33.3,44.4,110.00
Over And Above,3,2,0,6,50.0,83.3,16.67
Aluf,3,5,1,11,27.3,81.8,-3.64
My Biddy,3,3,0,10,30.0,60.0,-32.50
Macroy,3,1,0,6,50.0,66.7,73.33
Think I'm Dreaming,3,3,0,8,37.5,75.0,40.00
Cool Drafts,3,4,1,12,25.0,66.7,90.83
Appoint Percy,3,1,3,12,25.0,58.3,33.33
Stanley Park,3,2,1,6,50.0,100.0,18.33
Sunrise Dancer,3,3,1,11,27.3,63.6,-25.45
Sam Slick,3,1,1,11,27.3,45.5,57.27
Scotty Be Gotti,3,1,0,12,25.0,33.3,275.00
With a Bit of Dash,3,2,0,13,23.1,38.5,-5.38
Grandview Avenue,3,2,1,13,23.1,46.2,268.46
The Cartoonist,3,3,0,13,23.1,46.2,18.46
Metro Boy,3,0,1,9,33.3,44.4,-47.22
I Remember You,3,2,0,6,50.0,83.3,45.00
Mr Bellagio,3,0,2,14,21.4,35.7,15.71
Alnaas,3,1,0,12,25.0,33.3,-10.00
Ivy's Court,3,0,3,10,30.0,60.0,23.00
Chocolatier,3,0,3,8,37.5,75.0,12.50
Lucky Flipper,3,2,1,8,37.5,75.0,82.50
Zourhea,3,0,0,7,42.9,42.9,278.57
Traumatised,3,1,4,12,25.0,66.7,22.50
Notable Choice,3,3,1,15,20.0,46.7,36.67
Ragazze,3,1,0,7,42.9,57.1,22.14
Exalted Lightning,3,1,0,18,16.7,22.2,-41.39
Restrained,3,0,1,7,42.9,57.1,44.29
Gasworx,3,3,1,10,30.0,70.0,-21.00
Dunlani,3,0,1,9,33.3,44.4,97.78
Roman Typhoon,3,0,0,14,21.4,21.4,-11.79
Free Trade,3,1,0,4,75.0,100.0,63.75
Rosso Antico,3,3,3,19,15.8,47.4,81.58
Flow Meter,3,3,1,14,21.4,50.0,24.29
Common Purpose,3,0,1,7,42.9,57.1,64.29
Mrs Bignell,3,1,1,7,42.9,71.4,271.43
Adversary,3,1,0,7,42.9,57.1,94.29
Lake District Girl,3,0,0,6,50.0,50.0,27.50
The Great Bratski,3,3,4,16,18.8,62.5,-48.75
Sugar Sizzle,3,1,0,6,50.0,66.7,146.67
Sentimentalist,3,2,2,12,25.0,58.3,57.50
Robe de Fete,3,0,0,10,30.0,30.0,303.00
Lucabelle,3,0,2,11,27.3,45.5,381.82
Fabricator,3,2,2,10,30.0,70.0,-8.00
San Francisco,3,0,2,11,27.3,45.5,53.64
Cabeirian,3,1,2,11,27.3,54.5,8.64
Auerbach,3,2,1,9,33.3,66.7,64.44
Argyle Belle,3,1,0,14,21.4,28.6,117.14
Bea Tempted,3,0,0,5,60.0,60.0,158.00
Electric Charlie,3,0,0,13,23.1,23.1,5.38
Naseeb,3,3,0,11,27.3,54.5,28.18
Stafford's Lad,3,0,4,14,21.4,50.0,-21.43
Inanup,3,1,0,9,33.3,44.4,145.56
Cossie,3,1,2,12,25.0,50.0,275.00
Blaze Forth,3,1,3,11,27.3,63.6,-11.36
Spectre,3,2,2,11,27.3,63.6,16.82
Midoriyama,3,0,0,15,20.0,20.0,177.33
Royal Hootenanny,3,0,1,11,27.3,36.4,76.36
Blue Hope,3,0,1,6,50.0,66.7,105.83
Over There,3,1,2,14,21.4,42.9,-25.00
Wild About Her,3,1,2,9,33.3,66.7,25.56
Oregon Dreamer,3,2,1,12,25.0,50.0,-24.58
Nacho Libre,3,2,1,13,23.1,46.2,54.62
Appmat,3,2,2,9,33.3,77.8,37.78
My Demi,3,1,0,12,25.0,33.3,0.83
Hello My Friend,3,1,0,10,30.0,40.0,119.00
Shadow Flight,3,1,2,12,25.0,50.0,55.83
Phaistos,3,1,0,6,50.0,66.7,110.00
Lynch Mob,3,1,1,9,33.3,55.6,-22.78
Nashville Sound,3,1,2,9,33.3,66.7,-18.89
Sagarra,3,1,0,7,42.9,57.1,88.57
Speedonova,3,2,4,11,27.3,81.8,-33.64
The Delphi,3,1,2,9,33.3,66.7,108.89
Celtic Blast,3,1,0,6,50.0,66.7,216.67
Vanuatu,3,0,1,8,37.5,50.0,-20.00
Deception Game,3,3,0,10,30.0,60.0,-26.00
Lido Beach,3,1,2,7,42.9,85.7,64.29
Shuwish,3,0,1,5,60.0,80.0,13.00
Another Snappy,3,1,0,13,23.1,30.8,423.08
Jungle Fish,3,0,0,6,50.0,50.0,5.17
Pure Magnus,3,3,2,13,23.1,61.5,-21.54
Mitrust,3,1,0,8,37.5,50.0,73.75
A Fighting Fury,3,0,0,13,23.1,23.1,40.00
Stairwaytothemoon,3,3,0,9,33.3,66.7,-31.11
Dawn Raid,3,0,0,9,33.3,33.3,73.33
Arrochar,3,0,1,9,33.3,44.4,211.11
Ginger Jones,3,1,1,7,42.9,71.4,64.29
Surprise Bullet,3,0,0,6,50.0,50.0,71.67
Rafha's Choice,3,0,1,10,30.0,40.0,9.00
Moobi,3,0,2,7,42.9,71.4,62.86
Stornaway,3,2,3,20,15.0,40.0,-28.50
Beau Arrow,3,1,0,8,37.5,50.0,105.00
So You Wish,3,2,1,14,21.4,42.9,96.43
Ready Set Boom,3,1,3,13,23.1,53.8,9.23
San Marco,3,3,2,11,27.3,72.7,42.73
Von Mystic,3,3,1,8,37.5,87.5,-10.63
The Soloist,3,1,2,10,30.0,60.0,-7.50
Kentucky Flyer,3,1,1,11,27.3,45.5,251.82
Fomo,3,3,0,10,30.0,60.0,-24.00
Brooklyn,3,5,0,11,27.3,72.7,-10.91
My Maher,3,0,2,15,20.0,33.3,78.00
Blonde Choice,3,1,0,7,42.9,57.1,124.29
Misery,3,2,3,13,23.1,61.5,-55.00
D'oro Rain,3,0,2,8,37.5,62.5,20.63
Fuji Fury,3,0,1,7,42.9,57.1,34.29
Press Box,3,1,1,9,33.3,55.6,-36.67
New Endeavour,3,4,1,18,16.7,44.4,25.00
Western Pride,3,0,0,3,100.0,100.0,141.67
Gates Of Babylon,3,0,1,10,30.0,40.0,-1.00
Jazzland,3,2,1,7,42.9,85.7,115.71
Loveisili,3,1,0,4,75.0,100.0,115.00
Play Hard,3,0,2,9,33.3,55.6,51.11
Coral Bay,3,0,3,8,37.5,75.0,-6.25
Omar,3,0,0,5,60.0,60.0,21.00
Zeppelin,3,1,2,8,37.5,75.0,-10.00
Power of Wexford,3,2,0,7,42.9,71.4,-4.29
New Horizons,3,4,1,10,30.0,80.0,-11.50
Negasi,3,1,1,9,33.3,55.6,11.11
Carillon,3,0,0,5,60.0,60.0,222.00
Stella Sea Sun,3,3,1,7,42.9,100.0,-33.57
One of the Kind,3,2,0,15,20.0,33.3,32.67
Bergen,3,1,0,4,75.0,100.0,170.00
Foraoise,3,1,2,22,13.6,27.3,95.45
Friarandice,3,2,1,9,33.3,66.7,11.11
Cape Wickham,3,0,2,13,23.1,38.5,78.08
Dalon,3,2,1,7,42.9,85.7,4.29
Camelle,3,0,0,10,30.0,30.0,160.00
Macrobius,3,0,0,11,27.3,27.3,30.00
Wonder Boom,3,1,2,11,27.3,54.5,77.27
Elusive Melody,3,5,1,11,27.3,81.8,-48.18
Fermanagh Lad,3,1,0,15,20.0,26.7,-4.00
Quality Approach,3,2,0,8,37.5,62.5,-26.88
Delchuzy,3,1,1,9,33.3,55.6,88.89
Never Again,3,0,0,7,42.9,42.9,192.86
Akage,3,0,1,15,20.0,26.7,301.33
Splash of Lime,3,3,4,26,11.5,38.5,-69.62
Jackthegiantslayer,3,4,2,23,13.0,39.1,35.00
Neruda,3,1,2,12,25.0,50.0,287.50
Loved One,3,1,0,8,37.5,50.0,71.25
Lady Bing,3,1,1,7,42.9,71.4,90.00
Lope de Field,3,2,1,12,25.0,50.0,4.17
Good Idea,3,0,1,9,33.3,44.4,85.56
Pamela Joy,3,0,2,13,23.1,38.5,47.69
Shining Mane,3,7,3,20,15.0,65.0,-30.00
Bold Warrior,3,1,1,9,33.3,55.6,30.00
Something Silver,3,1,2,10,30.0,60.0,33.00
Dash for Dee,3,0,0,12,25.0,25.0,162.50
Class Clown,3,2,0,13,23.1,38.5,243.08
Alaskan Jade,3,0,2,9,33.3,55.6,153.33
Craiglea Virtue,3,3,4,19,15.8,52.6,-15.26
Wonderful Riri,3,0,0,6,50.0,50.0,119.17
Unikat,3,0,0,6,50.0,50.0,48.33
Dundee Lee,3,1,0,8,37.5,50.0,15.00
Subban,3,0,0,6,50.0,50.0,666.67
Trigger Point,3,1,2,12,25.0,50.0,138.33
Lips 'n' Lashes,3,3,0,10,30.0,60.0,23.00
Ondo Pasa,3,0,2,17,17.6,29.4,12.94
Deimos,3,2,1,8,37.5,75.0,37.50
That's Justified,3,2,2,12,25.0,58.3,-16.67
Solar Star,3,0,0,7,42.9,42.9,207.14
Babe in Boots,3,4,2,10,30.0,90.0,45.00
Black Bliss,3,0,2,7,42.9,71.4,42.86
Havenot,3,3,0,11,27.3,54.5,15.45
This Kid Rocks,3,0,3,11,27.3,54.5,-0.91
Super Cyclone,3,1,0,6,50.0,66.7,30.83
Spirit's Pride,3,0,2,9,33.3,55.6,183.33
Mr Charisma,3,1,4,20,15.0,40.0,-17.50
Paper Trade,3,3,1,13,23.1,53.8,-46.15
Ahwahneechee,3,2,0,8,37.5,62.5,-20.00
King's Peak,3,2,1,9,33.3,66.7,-31.67
Squared,3,2,4,20,15.0,45.0,22.50
Ilia,3,5,3,23,13.0,47.8,-26.09
He's a Hotshot,3,2,0,6,50.0,83.3,56.67
Hit the Target,3,0,2,7,42.9,71.4,141.43
Miss Jenny,3,0,1,8,37.5,50.0,45.00
Chattering,3,1,2,17,17.6,35.3,27.65
Trommelschlagen,3,0,1,10,30.0,40.0,31.00
Not to Be Mist,3,0,0,4,75.0,75.0,101.25
Lady Sass,3,2,1,9,33.3,66.7,-4.44
Escebee,3,1,6,25,12.0,40.0,28.00
Luga Lad,3,2,2,10,30.0,70.0,55.00
Harbour Views,3,0,0,3,100.0,100.0,100.67
Miss Mandito,3,2,0,11,27.3,45.5,-22.27
Any Blinkin' Day,3,1,2,19,15.8,31.6,183.16
Zoucara,3,2,0,7,42.9,71.4,112.86
Unresolved,3,3,3,25,12.0,36.0,98.00
Bronski,3,3,3,12,25.0,75.0,0.42
Taciturn,3,4,2,15,20.0,60.0,-30.67
Editors,3,1,2,15,20.0,40.0,38.00
McCormack,3,0,0,7,42.9,42.9,82.86
Chuck'n'paul,3,1,3,10,30.0,70.0,6.00
Lucy Rose,3,0,1,8,37.5,50.0,76.50
Bartrader,3,6,1,14,21.4,71.4,96.43
Hot Seat,3,1,4,13,23.1,61.5,70.00
Blue Tracer,3,1,0,11,27.3,36.4,88.18
Midnight Cowboy,3,4,2,13,23.1,69.2,-3.85
Happy Seventy,3,0,1,7,42.9,57.1,65.71
Fragment,3,3,1,12,25.0,58.3,-21.67
Charmed Princess,3,1,1,8,37.5,62.5,107.50
Patriot,3,2,2,11,27.3,63.6,31.82
Soldier of Love,3,2,0,7,42.9,71.4,256.43
De Andes,3,2,1,18,16.7,33.3,15.00
Spicer,3,2,0,24,12.5,20.8,-7.08
Dottledo,3,2,2,11,27.3,63.6,17.27
Syd's Footprints,3,0,0,5,60.0,60.0,124.00
Bargannon,3,2,0,9,33.3,55.6,-6.11
Jaxim,3,4,2,11,27.3,81.8,-20.45
Zagato Star,3,1,3,15,20.0,46.7,-30.67
Holbrook,3,4,2,16,18.8,56.3,3.44
Reef Knot,3,2,2,12,25.0,58.3,134.17
Mackellar's Love,3,2,1,8,37.5,75.0,212.50
Eperdument,3,2,1,14,21.4,42.9,-33.57
Musical Genius,3,1,0,5,60.0,80.0,70.00
Bernie's Tiger,3,4,3,17,17.6,58.8,-43.53
Godfather's Girl,3,0,3,10,30.0,60.0,-16.00
Anchois,3,2,0,6,50.0,83.3,-8.33
Few Too Many,3,1,1,10,30.0,50.0,465.00
Our Finvarra,3,1,0,8,37.5,50.0,207.50
Kent Street,3,2,1,8,37.5,75.0,317.50
Patriot Day,3,4,1,11,27.3,72.7,-62.27
All Pluck,3,0,1,12,25.0,33.3,25.83
Pewter,3,4,5,21,14.3,57.1,-47.14
Arrows Destiny,3,0,1,12,25.0,33.3,155.83
Mr Strachan,3,2,1,12,25.0,50.0,15.00
The Mechanic,3,1,0,8,37.5,50.0,3.13
General Soho,3,0,0,8,37.5,37.5,57.50
The Wild Side,3,2,0,7,42.9,71.4,464.29
Schweinsteiger,3,0,1,12,25.0,33.3,262.50
El Nieto,3,0,0,9,33.3,33.3,75.56
Marbel Duke,3,2,2,13,23.1,53.8,3.85
Chalcidian,3,2,0,16,18.8,31.3,-28.75
Secret Spirit,3,0,2,6,50.0,83.3,78.33
Billy Bent Ear,3,4,1,16,18.8,50.0,11.56
Caszar,3,3,1,13,23.1,53.8,-2.31
Mister Hootabell,3,2,1,20,15.0,30.0,83.00
Attila,3,1,1,9,33.3,55.6,81.11
American Muscle,3,3,1,10,30.0,70.0,90.00
River Flyer,3,1,1,10,30.0,50.0,17.00
Dennis,3,2,2,10,30.0,70.0,-0.50
Monegal,3,1,0,8,37.5,50.0,15.63
Oakfield Monarch,3,1,2,16,18.8,37.5,-25.00
Arrow Express,3,1,2,9,33.3,66.7,56.11
Baaed,3,1,2,10,30.0,60.0,17.00
Doctor Zous,3,2,0,7,42.9,71.4,12.14
Lagerfeld,3,2,0,7,42.9,71.4,-15.71
Bon Aire,3,2,2,12,25.0,58.3,20.00
Kemsrey,3,1,1,10,30.0,50.0,16.00
Amastryker,3,0,2,6,50.0,83.3,59.00
Calzini,3,2,1,10,30.0,60.0,12.00
Beeokay,3,3,0,11,27.3,54.5,-10.00
Savs Finale,3,2,0,9,33.3,55.6,61.67
Yuralla Boy,3,0,0,14,21.4,21.4,421.43
Lucky Prospector,3,0,1,9,33.3,44.4,68.89
Empire Liberty,3,1,0,10,30.0,40.0,159.00
Greetings Ned,3,1,0,8,37.5,50.0,725.00
Another Demon,3,3,4,15,20.0,66.7,-43.33
Friskee One,3,0,0,12,25.0,25.0,404.17
Scenic Sight,3,1,1,10,30.0,50.0,-22.00
Shift The Risk,3,0,0,3,100.0,100.0,140.00
Crooked Gent,3,1,4,14,21.4,57.1,52.86
Blazing Ash,3,2,2,13,23.1,53.8,-28.46
Positive Peace,3,0,0,4,75.0,75.0,362.50
Bid'n'bare,3,2,0,8,37.5,62.5,37.50
Dark Whirlwind,3,3,0,7,42.9,85.7,309.29
Balestrand,3,3,2,15,20.0,53.3,64.67
Smart As Attack,3,2,1,11,27.3,54.5,1.82
Shinseki,3,3,0,10,30.0,60.0,-9.50
Bold Xavvi,3,1,1,9,33.3,55.6,-30.00
Classic Jack,3,1,2,12,25.0,50.0,44.17
Mystic Hill,3,1,0,5,60.0,80.0,0.00
Landmarks,3,2,0,11,27.3,45.5,37.27
Crimson Halo,3,2,3,11,27.3,72.7,-13.64
Pandeia,3,8,2,22,13.6,59.1,-46.14
Ambush Alley,3,1,0,9,33.3,44.4,154.44
Ahmad,3,0,0,7,42.9,42.9,360.00
Zephyr Queen,3,0,2,8,37.5,62.5,231.25
Waterford Sound,3,1,1,13,23.1,38.5,165.38
Best Hoffa,3,3,3,13,23.1,69.2,-2.31
Shijin,3,2,0,7,42.9,71.4,75.00
Outboard Motors,3,0,2,10,30.0,50.0,43.00
Nooks And Crannies,3,0,0,5,60.0,60.0,87.00
Casino Star,3,1,2,14,21.4,42.9,44.29
Te Ata,3,1,0,11,27.3,36.4,18.18
Gold Touch,3,2,1,12,25.0,50.0,284.58
Desert Cowboy,3,1,3,14,21.4,50.0,45.00
Jayaqua,3,5,1,13,23.1,69.2,-23.08
Liffeybeau,3,1,1,9,33.3,55.6,51.11
With Purpose,3,0,0,5,60.0,60.0,75.00
Single Handed,3,0,0,6,50.0,50.0,29.17
Tobermory,3,0,4,11,27.3,63.6,11.82
Tardis,3,2,1,9,33.3,66.7,-11.11
Farthing Wood,3,2,2,12,25.0,58.3,-0.83
Koolama Bay,3,1,0,13,23.1,30.8,-19.62
Chu Chu Charlie,3,5,1,10,30.0,90.0,54.00
First Growth,3,2,1,10,30.0,60.0,535.00
Dram of Delago,3,0,1,7,42.9,57.1,-9.71
Kool Kash,3,0,3,10,30.0,60.0,23.00
Snowtrooper,3,2,2,9,33.3,77.8,51.11
Zoophoria,3,2,0,7,42.9,71.4,15.71
High Rush,3,1,0,10,30.0,40.0,110.00
Sweetest Eyes,3,0,1,5,60.0,80.0,370.00
Purton,3,0,0,6,50.0,50.0,13.33
Through the Cracks,3,1,0,4,75.0,100.0,120.00
Golden Acres,3,1,3,14,21.4,50.0,170.00
Coco Couture,3,2,0,12,25.0,41.7,-0.42
Gheedaa,3,0,0,6,50.0,50.0,-1.67
Sarasota Bay,3,1,1,7,42.9,71.4,222.86
Bunker Buster,3,2,0,9,33.3,55.6,110.00
Bonville,3,1,3,16,18.8,43.8,131.25
Footmark,3,1,0,10,30.0,40.0,-9.50
Makin' the Grade,3,1,2,9,33.3,66.7,17.78
Murrawee,3,4,1,13,23.1,61.5,-3.08
Arctic Warrior,3,0,4,14,21.4,50.0,96.43
Vivid Image,3,1,2,15,20.0,40.0,65.33
Onward,3,3,3,12,25.0,75.0,166.67
Silent Ice,3,1,0,9,33.3,44.4,53.33
Deadly Choices,3,3,1,7,42.9,100.0,-20.00
Wisama,3,2,0,8,37.5,62.5,41.25
Loricain,3,0,1,11,27.3,36.4,334.55
Full of Theories,3,1,0,11,27.3,36.4,26.36
Everymile a Memory,3,0,0,10,30.0,30.0,213.50
Bakslap,3,0,0,9,33.3,33.3,150.00
Victory Vibes,3,2,1,16,18.8,37.5,-9.38
Grand Bernini,3,1,2,8,37.5,75.0,131.25
Bouffon,3,1,2,14,21.4,42.9,28.57
Miss Smith,3,2,3,16,18.8,50.0,25.63
Delta D'or,3,1,0,12,25.0,33.3,21.67
Diamonds for Alice,3,3,2,12,25.0,66.7,417.50
Craiglea Cetina,3,4,2,14,21.4,64.3,191.43
Cosmic Reign,3,1,0,10,30.0,40.0,22.00
Highly Desired,3,1,1,11,27.3,45.5,-6.36
Cristal Dane,3,2,0,13,23.1,38.5,-43.46
Red Dazzle,3,2,1,18,16.7,33.3,147.22
Valario,3,1,0,6,50.0,66.7,15.00
Manning Treasure,3,2,1,12,25.0,50.0,420.00
Shampers,3,2,3,12,25.0,66.7,64.17
American Star,3,3,1,12,25.0,58.3,-24.58
Archway to Heaven,3,3,7,18,16.7,72.2,-31.67
The Blues Brother,3,2,0,13,23.1,38.5,48.46
Beautiful Mind,3,1,0,4,75.0,100.0,76.25
Baroque Girl,3,0,1,10,30.0,40.0,189.00
Ditmas,3,1,1,5,60.0,100.0,31.00
Written in Vain,3,0,1,7,42.9,57.1,137.14
Grogans Anvil,3,5,0,11,27.3,72.7,127.27
Hot Style,3,3,2,15,20.0,53.3,-45.00
Triple Shot,3,2,2,10,30.0,70.0,25.00
My Mother Says,3,1,1,8,37.5,62.5,-8.13
Strategic Force,3,1,0,9,33.3,44.4,43.33
Frugal,3,4,1,10,30.0,80.0,-41.00
Ansinna,3,1,1,13,23.1,38.5,-35.38
Airlie Man,3,1,2,13,23.1,46.2,403.08
Smooth Consul,3,2,1,10,30.0,60.0,15.00
Divi,3,2,1,7,42.9,85.7,-10.00
Maui Princess,3,1,0,8,37.5,50.0,21.88
Mustarrid,3,2,5,20,15.0,50.0,-38.50
Just Like Mum,3,0,0,9,33.3,33.3,293.33
Lamerican,3,4,2,13,23.1,69.2,80.77
Magic Beneteau,3,1,0,10,30.0,40.0,179.00
The Iceman,3,2,5,12,25.0,83.3,-42.08
Chorus,3,1,1,9,33.3,55.6,-16.11
Divine Red,3,1,2,7,42.9,85.7,-20.00
Azarose,3,1,1,10,30.0,50.0,3.00
Dangerous Breeding,3,1,1,13,23.1,38.5,830.77
Missing Pro,3,0,0,4,75.0,75.0,140.00
Sabai Sabai,3,2,0,11,27.3,45.5,19.55
Amschel,3,2,0,11,27.3,45.5,45.91
Looking for You,3,2,1,9,33.3,66.7,10.56
Treasure Boss,3,1,2,13,23.1,46.2,80.77
Tranquilla Sunrise,3,4,3,16,18.8,62.5,81.25
Cloak And Dagger,3,1,2,12,25.0,50.0,-30.42
Tru Blu Tango,3,1,0,8,37.5,50.0,52.50
