Horses,1st,2nd,3rd,starts,win,place,roi
Breathtaking,4,2,0,15,26.7,40.0,49.33
La Dernier Fille,4,1,0,8,50.0,62.5,163.75
Barry's Rabbit,4,2,0,14,28.6,42.9,0.00
Truth And Lies,4,1,1,14,28.6,42.9,-7.50
Little Hunter,4,3,2,14,28.6,64.3,-10.71
La Rita,4,1,1,16,25.0,37.5,72.50
Brotherly Secret,4,0,0,8,50.0,50.0,173.75
Amaword,4,0,0,7,57.1,57.1,122.86
Let's Rebelle,4,0,0,6,66.7,66.7,166.67
Jetgirl,4,0,1,10,40.0,50.0,7.00
Daunting Queen,4,2,3,9,44.4,100.0,52.22
Call Me Anything,4,1,0,7,57.1,71.4,288.57
Freez'emoff,4,0,1,11,36.4,45.5,94.55
Escaday,4,1,3,13,30.8,61.5,19.23
Ask Audrey,4,1,1,13,30.8,46.2,55.38
Maxsamia,4,0,3,14,28.6,50.0,254.29
Beau Jet,4,2,0,10,40.0,60.0,86.50
Gigglon,4,1,3,12,33.3,66.7,-31.92
Mishani Istana,4,1,1,17,23.5,35.3,212.94
Life of Waldo,4,0,0,6,66.7,66.7,196.67
Casta,4,1,1,12,33.3,50.0,-3.75
Deputy Dan,4,1,1,7,57.1,85.7,1485.71
Master Splinter,4,1,1,6,66.7,100.0,744.17
Boomnbust,4,0,1,12,33.3,41.7,403.33
Isn't She Elegant,4,0,1,7,57.1,71.4,62.14
Manabar,4,0,0,6,66.7,66.7,79.17
Toned,4,0,2,12,33.3,50.0,95.83
Windmill Lane,4,2,0,8,50.0,75.0,40.00
Durif,4,0,1,5,80.0,100.0,68.00
Dyagilev,4,0,1,9,44.4,55.6,55.56
Tommy Gun,4,0,5,19,21.1,47.4,20.53
Olifants,4,0,1,12,33.3,41.7,-14.58
Friendly Dragon,4,0,0,6,66.7,66.7,233.33
Now Ask Me,4,0,0,7,57.1,57.1,48.57
Diamond Jolson,4,1,0,11,36.4,45.5,179.09
Happy Room,4,0,1,16,25.0,31.3,183.13
Hurricane Sonny,4,0,3,13,30.8,53.8,74.62
Tom's Star,4,0,2,12,33.3,50.0,26.67
Congomotion,4,2,1,12,33.3,58.3,-25.00
Santa Ana Lane,3,0,0,6,50.0,50.0,358.33
Kiamichi,3,1,1,7,42.9,71.4,678.57
Brutal,3,1,1,6,50.0,83.3,82.50
Trap for Fools,3,2,2,11,27.3,63.6,226.36
Castelvecchio,3,0,2,5,60.0,100.0,1598.00
Lyre,3,0,1,5,60.0,80.0,604.00
Pierata,3,2,1,9,33.3,66.7,44.44
Dubious,3,1,1,7,42.9,71.4,236.43
Alizee,3,0,1,6,50.0,66.7,45.00
Anaheed,3,0,0,6,50.0,50.0,208.33
Redouble,3,1,2,11,27.3,54.5,49.09
Best Of Days,3,1,1,8,37.5,62.5,115.63
Chapter And Verse,3,2,1,9,33.3,66.7,154.44
Nature Strip,3,0,0,6,50.0,50.0,24.17
Classique Legend,3,0,1,4,75.0,100.0,90.00
